word	slice	sources	mfa	cv	tiny	tiny_ok_mfa	trans	trans_ok_mfa
odmienną	disputed	disputed	ɔ d̪ mʲ ɛ n̪ ɔ̃	ɔ d m j ɛ n n ɔ̃	ɔ d̪ mʲ ɛ n̪ ɔ̃	True	ɔ d̪ mʲ ɛ n̪ ɔ̃	True
odzyskałem	disputed	disputed	ɔ d̪ z̪ ɨ s̪ k a w ɛ m	ɔ d͡z ɨ s k a w ɛ m	ɔ d̪ z̪ ɨ s̪ k a w ɛ m	True	ɔ d̪ z̪ ɨ s̪ k a w ɛ m	True
odzyskiwały	mfa-only	error-union	ɔ d̪ z̪ ɨ s̪ c i v a w ɨ		ɔ d̪ ɨ s̪ c i v a w ɨ	False	ɔ d̪ z̪ ɨ s̪ c i v a w ɨ	True
odzyskuje	disputed	disputed	ɔ d̪ z̪ ɨ s̪ k u j ɛ	ɔ d͡z ɨ s k u j ɛ	ɔ d̪ z̪ ɨ s̪ k u j ɛ	True	ɔ d̪ z̪ ɨ s̪ k u j ɛ	True
oględzin	disputed	disputed	ɔ ɡ l ɛ ɲ dʑ i n̪	ɔ ɡ l ɛ n d͡ʑ i n	ɔ ɡ l ɛ ɲ dʑ i n̪	True	ɔ ɡ l ɛ ɲ dʑ i n̪	True
olenkiewicz	mfa-only	error-union	ɔ l ɛ n̪ c ɛ vʲ i tʂ		ɔ l ɛ ŋ c ɛ vʲ i tʂ	False	ɔ l ɛ n̪ c ɛ vʲ i tʂ	True
opłacenia	mfa-only	error-union	ɔ p w a t̪s̪ ɛ ɲ j a		ɔ p w a t̪s̪ ɛ ɲ a	False	ɔ p w a t̪s̪ ɛ ɲ a	False
orwellowska	disputed	disputed+error-union	ɔ r w ɛ l ɔ f s̪ k a	ɔ r v ɛ l l ɔ f s k a	ɔ r v ɛ l ɔ f s̪ k a	False	ɔ r w ɛ l ɔ f s̪ k a	True
partya	mfa-only	error-union	p a r t̪ ɨ a		p a r t̪ ɨ	False	p a r t̪ ɨ a	True
pens	mfa-only	error-union	p ɛ̃ s̪		p ɛ n̪ s̪	False	p ɛ n̪ s̪	False
peri	mfa-only	error-union	p ɛ r i		p ɛ rʲ i	False	p ɛ rʲ i	False
piorunów	disputed	disputed	pʲ ɔ r u n̪ u f	p j ɔ r u n u v	pʲ ɔ r u n̪ u f	True	pʲ ɔ r u n̪ u f	True
pochówków	mfa-only	error-union	p ɔ x u v k u f		p ɔ x u f k u f	False	p ɔ x u f k u f	False
podzwrotnikowe	disputed	disputed+error-union	p ɔ d̪ z̪ v r ɔ t̪ ɲ i k ɔ v ɛ	p ɔ d͡z v r ɔ t ɲ i k ɔ v ɛ	p ɔ d̪ v r ɔ t̪ ɲ i k ɔ v ɛ	False	p ɔ d̪ z̪ v r ɔ t̪ ɲ i k ɔ v ɛ	True
podżeganie	mfa-only	error-union	p ɔ dʐ ɛ ɡ a ɲ ɛ		p ɔ d̪ ɛ ɡ a ɲ ɛ	False	p ɔ d̪ ʐ ɛ ɡ a ɲ ɛ	False
pogaństwie	mfa-only	error-union	p ɔ ɡ a ɲ s̪ t̪ fʲ ɛ		p ɔ ɡ a j̃ s̪ t̪ fʲ ɛ	False	p ɔ ɡ a j̃ s̪ t̪ fʲ ɛ	False
pogaństwo	mfa-only	error-union	p ɔ ɡ a j̃ s̪ t̪ f ɔ		p ɔ ɡ a ɲ s̪ t̪ f ɔ	False	p ɔ ɡ a j̃ s̪ t̪ f ɔ	True
pokręciła	disputed	disputed	p ɔ k r ɛ ɲ tɕ i w a	p ɔ k r ɛ n t͡ɕ i w a	p ɔ k r ɛ ɲ tɕ i w a	True	p ɔ k r ɛ ɲ tɕ i w a	True
pomarzniemy	mfa-only	error-union	p ɔ m a r z̪ ɲ ɛ m ɨ		p ɔ m a r ɲ ɛ m ɨ	False	p ɔ m a r z̪ ɲ ɛ m ɨ	True
pomazać	mfa-only	error-union	p ɔ m a z̪ a tɕ		p ɔ m a a tɕ	False	p ɔ m a z̪ a tɕ	True
poufnie	disputed	disputed	p ɔ u f ɲ ɛ	p ɔ f f ɲ ɛ	p ɔ u f ɲ ɛ	True	p ɔ u f ɲ ɛ	True
pozabudżetowych	mfa-only	error-union	p ɔ z̪ a b u d̪ ʐ ɛ t̪ ɔ v ɨ x		p ɔ z̪ a b u dʐ ɛ t̪ ɔ v ɨ x	False	p ɔ z̪ a b u dʐ ɛ t̪ ɔ v ɨ x	False
propzycję	mfa-only	error-union	p r ɔ p ɨ t̪s̪ j ɛ		p r ɔ p ɨ t̪s̪ j ɛ	True	p r ɔ p s̪ ɨ t̪s̪ j ɛ	False
przepędziłem	disputed	disputed	p ʂ ɛ p ɛ ɲ dʑ i w ɛ m	p ʂ ɛ p ɛ n d͡ʑ i w ɛ m	p ʂ ɛ p ɛ ɲ dʑ i w ɛ m	True	p ʂ ɛ p ɛ ɲ dʑ i w ɛ m	True
przewyższać	disputed	disputed	p ʂ ɛ v ɨ ʂ a tɕ	p ʂ ɛ v ɨ ʂ ʂ a t͡ɕ	p ʂ ɛ v ɨ ʂ a tɕ	True	p ʂ ɛ v ɨ ʂ a tɕ	True
przykucnięci	disputed	disputed	p ʂ ɨ k u t̪s̪ ɲ ɛ ɲ tɕ i	p ʂ ɨ k u t͡s ɲ ɛ n t͡ɕ i	p ʂ ɨ k u t̪s̪ ɲ ɛ ɲ tɕ i	True	p ʂ ɨ k u t̪s̪ ɲ ɛ ɲ tɕ i	True
przyoblekła	disputed	disputed	p ʂ ɨ ɔ b l ɛ k w a	p ʂ j ɔ b l ɛ k w a	p ʂ ɨ ɔ b l ɛ k w a	True	p ʂ ɨ ɔ b l ɛ k w a	True
pseudonauka	mfa-only	error-union	p s̪ ɛ w d̪ ɔ n̪ a u k a		p s̪ ɛ w d̪ ɔ n̪ a u k a	True	p s̪ ɛ w d̪ ɔ n̪ a w k a	False
psi	agreed	polyphonic	p s̪ i | p ɕ i	p ɕ i	p ɕ i	True	p ɕ i	True
pzpr	mfa-only	error-union+unalignable	p ɛ z̪ ɛ t̪ p ɛ ɛ r		p p r	False	p ɛ s̪ p ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ ɛ	False
płynności	disputed	disputed	p w ɨ n̪ ɔ ɕ tɕ i	p w ɨ n n ɔ ɕ t͡ɕ i	p w ɨ n̪ ɔ ɕ tɕ i	True	p w ɨ n̪ ɔ ɕ tɕ i	True
rewanż	disputed	disputed	r ɛ v a n̪ ʂ	r ɛ v a n ʐ	r ɛ v a n̪ ʂ	True	r ɛ v a n̪ ʂ	True
rockowej	mfa-only	error-union	r ɔ k ɔ v ɛ j		r ɔ t̪s̪ k ɔ v ɛ j	False	r ɔ t̪s̪ k ɔ v ɛ j	False
rozjechania	mfa-only	error-union	r ɔ z̪ j ɛ x a ɲ j a		r ɔ z̪ j ɛ x a ɲ a	False	r ɔ z̪ j ɛ x a ɲ j a	True
rozkazów	disputed	disputed	r ɔ s̪ k a z̪ u f	r ɔ s k a z u v	r ɔ s̪ k a z̪ u f	True	r ɔ s̪ k a z̪ u f	True
rozpoczęcie	disputed	disputed	r ɔ s̪ p ɔ tʂ ɛ ɲ tɕ ɛ	r ɔ s p ɔ t ʂ ɛ n t͡ɕ ɛ	r ɔ s̪ p ɔ tʂ ɛ ɲ tɕ ɛ	True	r ɔ s̪ p ɔ tʂ ɛ ɲ tɕ ɛ	True
rozwarte	mfa-only	error-union	r ɔ z̪ v a r t̪ ɛ		r ɔ z̪ f a r t̪ ɛ	False	r ɔ z̪ v a r t̪ ɛ	True
rpo	mfa-only	error-union+unalignable	ɛ r p ɛ ɔ		r p ɔ	False	r p ɔ	False
rtv	mfa-only	error-union+unalignable	ɛ r t̪ ɛ v ɛ		r t̪ f	False	ɛ r t̪ ɛ v u	False
rządzie	disputed	disputed	ʐ ɔ ɲ dʑ ɛ	ʐ ɔ n d͡ʑ ɛ	ʐ ɔ ɲ dʑ ɛ	True	ʐ ɔ ɲ dʑ ɛ	True
rządził	disputed	disputed	ʐ ɔ ɲ dʑ i w	ʐ ɔ n d͡ʑ i w	ʐ ɔ ɲ dʑ i w	True	ʐ ɔ ɲ dʑ i w	True
rządziła	disputed	disputed	ʐ ɔ ɲ dʑ i w a	ʐ ɔ n d͡ʑ i w a	ʐ ɔ ɲ dʑ i w a	True	ʐ ɔ ɲ dʑ i w a	True
schmitta	mfa-only	error-union	s̪ x mʲ i t̪ a		s̪ x mʲ i t̪ t̪ a	False	s̪ x mʲ i t̪ a	True
schwertbergu	mfa-only	error-union	s̪ x f ɛ r t̪ b ɛ r ɡ u		s̪ x f ɛ r b ɛ r ɡ u	False	s̪ x f ɛ r t̪ b ɛ r ɡ u	True
sdebel	mfa-only	error-union	z̪ d̪ ɛ b ɛ l		s̪ d̪ ɛ b ɛ l	False	s̪ d̪ ɛ b ɛ l	False
senne	disputed	disputed	s̪ ɛ n̪ ɛ	s ɛ n n ɛ	s̪ ɛ n̪ ɛ	True	s̪ ɛ n̪ ɛ	True
severino	mfa-only	error-union	s̪ ɛ v ɛ rʲ i n̪ ɔ		s̪ ɛ v ɛ r i n̪ ɔ	False	s̪ ɛ v ɛ rʲ i n̪ ɔ	True
sienkowiec	mfa-only	error-union	ɕ ɛ ŋ k ɔ vʲ ɛ t̪s̪		ɕ ɛ n̪ k ɔ vʲ ɛ t̪s̪	False	ɕ ɛ ŋ k ɔ vʲ ɛ t̪s̪	True
singiel	mfa-only	error-union	s̪ i n̪ ɟ ɛ l		ɕ i n̪ ɟ ɛ l	False	s̪ i n̪ ɟ ɛ l	True
skarży	disputed	disputed	s̪ k a r ʐ ɨ	s k a ʐ ɨ	s̪ k a r ʐ ɨ	True	s̪ k a r ʐ ɨ	True
skarżyć	disputed	disputed	s̪ k a r ʐ ɨ tɕ	s k a ʐ ɨ t͡ɕ	s̪ k a r ʐ ɨ tɕ	True	s̪ k a r ʐ ɨ tɕ	True
spotkania	agreed	error-union	s̪ p ɔ t̪ k a ɲ j a	s p ɔ t k a ɲ a	s̪ p ɔ t̪ k a ɲ a	False	s̪ p ɔ t̪ k a ɲ j a	True
spędzić	disputed	disputed	s̪ p ɛ ɲ dʑ i tɕ	s p ɛ n d͡ʑ i t͡ɕ	s̪ p ɛ ɲ dʑ i tɕ	True	s̪ p ɛ ɲ dʑ i tɕ	True
stewardesa	mfa-only	error-union	s̪ tʲ u a r d̪ ɛ s̪ a		s̪ t̪ u a r d̪ ɛ s̪ a	False	s̪ t̪ ɛ v a r d̪ ɛ s̪ a	False
strzecha	mfa-only	polyphonic	s̪ tʂ ɛ x a | s̪ t̪ ʂ ɛ x a | ʂ tʂ ɛ x a		s̪ t̪ ʂ ɛ x a	True	s̪ t̪ ʂ ɛ x a	True
subbudżetowanie	mfa-only	error-union	s̪ u b u d̪ ʐ ɛ t̪ ɔ v a ɲ ɛ		s̪ u b b u d̪ ɛ t̪ ɔ v a ɲ ɛ	False	s̪ u b u dʐ ɛ t̪ ɔ v a ɲ ɛ	False
subjekci	mfa-only	error-union	s̪ u bʲ ɛ k tɕ i		s̪ u bʲ j ɛ k tɕ i	False	s̪ u bʲ ɛ k tɕ i	True
surfing	mfa-only	error-union	s̪ ɛ r fʲ i n̪ k		s̪ u r fʲ i n̪ k	False	s̪ u r fʲ i n̪ k	False
surrealizm	disputed	disputed	s̪ u r ɛ a ʎ i z̪ m	s u r r ɛ a l i z m	s̪ u r ɛ a ʎ i z̪ m	True	s̪ u r ɛ a ʎ i z̪ m	True
szanghaj	mfa-only	error-union	ʂ a n̪ k x a j		ʂ a n̪ k x a j	True	ʂ a n̪ ɡ a j	False
sześćsetnej	mfa-only	error-union	ʂ ɛ ɕ tɕ s̪ ɛ t̪ n̪ ɛ j		ʂ ɛ s̪ ɛ t̪ n̪ ɛ j	False	ʂ ɛ j s̪ ɛ t̪ n̪ ɛ j	False
sześćsetną	mfa-only	error-union	ʂ ɛ ɕ tɕ s̪ ɛ t̪ n̪ ɔ̃		ʂ ɛ s̪ ɛ t̪ n̪ ɔ̃	False	ʂ ɛ j s̪ ɛ t̪ n̪ ɔ̃	False
szwindli	mfa-only	error-union	ʂ fʲ i n̪ d̪ ʎ i		ʂ vʲ i n̪ d̪ ʎ i	False	ʂ fʲ i n̪ d̪ ʎ i	True
tavannes	mfa-only	error-union	t̪ a w n̪ ɛ s̪		t̪ a a n̪ ɛ s̪	False	t̪ a w n̪ ɛ s̪	True
toykeat	mfa-only	error-union	t̪ ɔ ɨ k ɛ a t̪		t̪ ɔ ɨ k ɛ a t̪	True	t̪ ɔ j k ɛ a t̪	False
tpn	mfa-only	error-union+unalignable	t̪ ɛ p ɛ ɛ n̪		t̪ p n̪	False	t̪ ɛ p ɛ n̪	False
trance	mfa-only	error-union+unalignable	t̪ r ɛ̃ s̪		t̪ r a n̪ t̪s̪ ɛ	False	t̪ r a n̪ t̪s̪ ɛ	False
transgraniczne	mfa-only	error-union+unalignable	t̪ r a n̪ s̪ a ɡ r a ɲ i tʂ n̪ ɛ		t̪ r a n̪ s̪ ɡ r a ɲ i tʂ n̪ ɛ	False	t̪ r a n̪ s̪ a ɡ r a ɲ i tʂ n̪ ɛ	True
trzeba	agreed	polyphonic	tʂ ɛ b a | t̪ ʂ ɛ b a	t ʂ ɛ b a	t̪ ʂ ɛ b a	True	t̪ ʂ ɛ b a	True
trąciła	disputed	disputed	t̪ r ɔ ɲ tɕ i w a	t r ɔ n t͡ɕ i w a	t̪ r ɔ ɲ tɕ i w a	True	t̪ r ɔ ɲ tɕ i w a	True
tzrynastoletni	mfa-only	error-union	t̪s̪ a r ɨ n̪ a s̪ t̪ ɔ l ɛ t̪ ɲ i		t̪ r ɨ n̪ a s̪ t̪ ɔ l ɛ t̪ ɲ i	False	t̪ z̪ r ɨ n̪ a s̪ t̪ ɔ l ɛ t̪ ɲ i	False
uaktualnić	mfa-only	error-union	u a k t̪ u a l ɲ i tɕ		w a k t̪ u a l ɲ i tɕ	False	u a k t̪ u a l ɲ i tɕ	True
ukłonów	disputed	disputed	u k w ɔ n̪ u f	u k w ɔ n u v	u k w ɔ n̪ u f	True	u k w ɔ n̪ u f	True
uściśnięcie	disputed	disputed	u ɕ tɕ i ɕ ɲ ɛ ɲ tɕ ɛ	u ɕ t͡ɕ i ɕ ɲ ɛ n t͡ɕ ɛ	u ɕ tɕ i ɕ ɲ ɛ ɲ tɕ ɛ	True	u ɕ tɕ i ɕ ɲ ɛ ɲ tɕ ɛ	True
via	disputed	disputed+error-union	vʲ i a	v j a	vʲ a	False	vʲ a	False
volenti	mfa-only	error-union	v u l ɛ n̪ tʲ i		v ɔ l ɛ n̪ tʲ i	False	v ɔ l ɛ n̪ tʲ i	False
voodoo	mfa-only	error-union	v u d̪ u		v ʔ ɔ d̪ ɔ ɔ	False	v u d̪ ɔ	False
warzyw	disputed	disputed	v a ʐ ɨ f	v a ʐ ɨ v	v a ʐ ɨ f	True	v a ʐ ɨ f	True
wczesniej	mfa-only	error-union+unalignable	f tʂ ɛ s̪ n̪ a j ɛ j		f tʂ ɛ s̪ ɲ ɛ j	False	f tʂ ɛ s̪ ɲ ɛ j	False
widzc	mfa-only	error-union	vʲ i d̪z̪ t̪s̪		vʲ i t̪s̪ t̪s̪	False	vʲ i t̪s̪	False
wielostronne	disputed	disputed	vʲ ɛ l ɔ s̪ t̪ r ɔ n̪ ɛ	v j ɛ l ɔ s t r ɔ n n ɛ	vʲ ɛ l ɔ s̪ t̪ r ɔ n̪ ɛ	True	vʲ ɛ l ɔ s̪ t̪ r ɔ n̪ ɛ	True
winne	disputed	disputed	vʲ i n̪ ɛ	v i n n ɛ	vʲ i n̪ ɛ	True	vʲ i n̪ ɛ	True
wjazdowej	mfa-only	error-union	vʲ j a z̪ d̪ ɔ v ɛ j		v j a z̪ d̪ ɔ v ɛ j	False	vʲ j a z̪ d̪ ɔ v ɛ j	True
wku	mfa-only	error-union+unalignable	v u k a u		f k u	False	f k u	False
wstydzę	disputed	disputed+error-union	f s̪ t̪ ɨ dʑ ɛ	f s t ɨ d͡z ɛ | f s t ɨ d͡z ɛ̃	f s̪ t̪ ɨ d̪z̪ ɛ	False	f s̪ t̪ ɨ dʑ ɛ	True
wtw	mfa-only	error-union+unalignable	v u t̪ ɛ v u		f t̪ f	False	f t̪ a	False
wyciągnięcia	disputed	disputed	v ɨ tɕ ɔ ŋ ɡ ɲ ɛ ɲ tɕ a	v ɨ t͡ɕ ɔ ŋ ɡ ɲ ɛ n t͡ɕ a	v ɨ tɕ ɔ ŋ ɡ ɲ ɛ ɲ tɕ a	True	v ɨ tɕ ɔ ŋ ɡ ɲ ɛ ɲ tɕ a	True
wyobraźmy	disputed	disputed	v ɨ ɔ b r a ʑ m ɨ	v j ɔ b r a ʑ m ɨ	v ɨ ɔ b r a ʑ m ɨ	True	v ɨ ɔ b r a ʑ m ɨ	True
wyżsi	agreed	error-union	v ɨ ʂ ɕ i	v ɨ ʂ ɕ i	v ɨ ɕ i	False	v ɨ ʂ ɕ i	True
wyższem	disputed	disputed	v ɨ ʂ ɛ m	v ɨ ʂ ʂ ɛ m	v ɨ ʂ ɛ m	True	v ɨ ʂ ɛ m	True
zakonnice	disputed	disputed	z̪ a k ɔ ɲ i t̪s̪ ɛ	z a k ɔ n ɲ i t͡s ɛ	z̪ a k ɔ ɲ i t̪s̪ ɛ	True	z̪ a k ɔ ɲ i t̪s̪ ɛ	True
zakręcił	disputed	disputed	z̪ a k r ɛ ɲ tɕ i w	z a k r ɛ n t͡ɕ i w	z̪ a k r ɛ ɲ tɕ i w	True	z̪ a k r ɛ ɲ tɕ i w	True
zwinności	disputed	disputed	z̪ vʲ i n̪ ɔ ɕ tɕ i	z v i n n ɔ ɕ t͡ɕ i	z̪ vʲ i n̪ ɔ ɕ tɕ i	True	z̪ vʲ i n̪ ɔ ɕ tɕ i	True
